JSI;;;NUM;;Software AG Universal Messaging
JSI;;;PAZ;;Apama Bundle
JSI;;;RTM;;RTM Event Engine
JSI;;;TDB;;Terracotta DB
JSI;;;TEC;;Terracotta Ehcache Client
JSI;;;TSC;;Terracotta DB TC Store Client
JSI;;;TAE;;Terracotta Enterprise Ehcache
JSI;;;TAE;;Terracotta Enterprise Ehcache
JSI;;;TAE;;Terracotta Enterprise Ehcache
LAR;;;AIC;;Software AG Installer Always Installed Components
LAR;;;OGI;;OSGi Platform
LIP;;;NUM;;Software AG Universal Messaging
LIP;;;CTP;;Software AG Runtime
LIP;;;DOC;;Third-party Product Documentation
LIP;;;PIE;;webMethods Integration Server
LIP;;;SEC;;Common Service Container
LIP;;;SIN;;Security Infrastructure
LIP;;;WCD;;webMethods CloudStreams Development
LIP;;;WST;;webMethods CloudStreams Server
LIP;;;DOC;;Third-party Product Documentation
LIP;;;NUM;;Software AG Universal Messaging
LIP;;;WST;;webMethods CloudStreams Server
LIP;;;SIN;;Security Infrastructure
LIP;;;WCD;;webMethods CloudStreams Development
LIP;;;SEC;;Common Service Container
LIP;;;PIE;;webMethods Integration Server
LIP;;;CTP;;Software AG Runtime
LIP;;;LJP;;webMethods AgileApps Cloud
LIP;;;LJP;;webMethods AgileApps Cloud
LJP;;;DBO;;webMethods Dynamic Business Orchestrator
LJP;;;PIE;;webMethods Integration Server
LJP;;;AIC;;Software AG Installer Always Installed Components
LJP;;;TPP;;webMethods Shared Third Party Jars
LJP;;;CTP;;Software AG Runtime
LJP;;;SIN;;Security Infrastructure
LJP;;;WSC;;webMethods Shared Components
LJP;;;NUM;;Software AG Universal Messaging
MAD;;;AIC;;Software AG Installer Always Installed Components
MAG;;;TPS;;webMethods Shared Third Party Bundles
MAG;;;SPM;;webMethods Platform Manager
MAG;;;OGI;;OSGi Platform
MAG;;;AIC;;Software AG Installer Always Installed Components
MAP;;;AIC;;Software AG Installer Always Installed Components
MAP;;;OGI;;OSGi Platform
MAP;;;SPM;;webMethods Platform Manager
MAP;;;TPS;;webMethods Shared Third Party Bundles
MAT;;;AIC;;Software AG Installer Always Installed Components
MAT;;;OGI;;OSGi Platform
MAT;;;SPM;;webMethods Platform Manager
MAT;;;TPS;;webMethods Shared Third Party Bundles
MIG;;;AIC;;Software AG Installer Always Installed Components
MSC;;;PIE;;webMethods Integration Server
MWS;;;AIC;;Software AG Installer Always Installed Components
MWS;;;DDJ;;DataDirect Connect for JDBC
MWS;;;TPP;;webMethods Shared Third Party Jars
MWS;;;TPS;;webMethods Shared Third Party Bundles
MWS;;;WSC;;webMethods Shared Components
NSR;;;AIC;;Software AG Installer Always Installed Components
NSR;;;SDF;;Software AG Designer
NUM;;;AIC;;Software AG Installer Always Installed Components
NUM;;;MIG;;webMethods Migration Framework
NUM;;;TPS;;webMethods Shared Third Party Bundles
NUM;;;WIS;;webMethods Installer Shared Tools
NUM;;;WSC;;webMethods Shared Components
